restaurant_id,name,city,area,address,latitude,longitude,location_source,location_precision,cuisines,rest_type,cost_for_two_inr,price_tier,rating,review_count,online_order,book_table,dish_liked
1,Byg Brewski Brewing Company,Bengaluru,Sarjapur Road,"Behind MK Retail, Sarjapur Road, Bangalore",12.911,77.685,Bengaluru locality centroid,locality-level,"Continental, North Indian, Italian, South Indian, Finger Food",Microbrewery,1600,Premium,4.9,16832,True,True,"Cocktails, Butter Chicken, Dahi Kebab, Rajma Chawal, Craft Beer, Teriyaki Fish, Buffalo Wings"
2,Toit,Bengaluru,Indiranagar,"298, Namma Metro Pillar 62, 100 Feet Road, Indiranagar, Bangalore",12.9784,77.6408,Bengaluru locality centroid,locality-level,"Italian, American, Pizza",Microbrewery,1500,Premium,4.7,14956,False,False,"Beer, Pesto Pizza, Nachos, Cocktails, Beef Lasagna, Mai Thai, Tacos"
3,Truffles,Bengaluru,Koramangala 5th Block,"28, 4th 'B' Cross, Koramangala 5th Block, Bangalore",12.9352,77.618,Bengaluru locality centroid,locality-level,"Cafe, American, Burger, Steak","Cafe, Casual Dining",900,Premium,4.7,14726,False,False,"Burgers, Pasta, Cocktails, American Cheese Burger, Chicken Salad, Pancakes, Chocolate Dessert"
4,AB's - Absolute Barbecues,Bengaluru,Marathahalli,"90/4, 3rd Floor, Outer Ring Road, Munnekollaly Village, Marathahalli, Bangalore",12.9591,77.6974,Bengaluru locality centroid,locality-level,"European, Mediterranean, North Indian, BBQ",Casual Dining,1600,Premium,4.8,12121,False,True,"Raj Kachori, Paan Kulfi, Churros, Butter Chicken, Momos, Bbq Prawns, Pudding"
5,The Black Pearl,Bengaluru,Koramangala 5th Block,"105, 1st A Cross Road, Jyothi Nivas College Road, Koramangala 5th Block, Bangalore",12.9352,77.618,Bengaluru locality centroid,locality-level,"North Indian, European, Mediterranean","Casual Dining, Bar",1400,Premium,4.7,10550,False,True,"Chocolate Lollipop, Chocolate Biscuit, Fire Shots, Sangria, Chocolate Ganache, Paneer Makhani, Corn Fry"
6,Big Pitcher,Bengaluru,Old Airport Road,"LR Arcade,4121, Old Airport Road, Bangalore",12.959,77.653,Bengaluru locality centroid,locality-level,"American, Continental, North Indian, Mediterranean","Pub, Microbrewery",1800,Luxury,4.6,9300,False,True,"Beer, Cocktails, Tiramisu, Tawa Chicken, Mocktails, Chicken Satay, Sea Food"
7,Onesta,Bengaluru,Koramangala 4th Block,"562, 8th Main, Koramangala 4th Block, Bangalore",12.934,77.63,Bengaluru locality centroid,locality-level,"Pizza, Cafe, Italian","Casual Dining, Cafe",600,Moderate,4.4,9085,True,True,"Berryblast, Gourmet Pizza, Mocktails, Ravioli, Bacon Pizza, Pasta, Prawn Pizza"
8,Arbor Brewing Company,Bengaluru,Brigade Road,"8, 3rd Floor, Allied Grande Plaza, Diagonally Opposite Garuda Mall, Magrath Road, Brigade Road, Bangalore",12.9733,77.6074,Bengaluru locality centroid,locality-level,"American, Continental","Pub, Microbrewery",2000,Luxury,4.5,8419,False,True,"Kamikaze, Long Island Iced Tea, Pizza, Hefeweizen, Cocktails, Belgian Brew Beer, Chicken Bbq Wings"
9,Empire Restaurant,Bengaluru,Indiranagar,"Next to BSNL, HAL 2nd Stage, 80 Feet Road, Indiranagar, Bangalore",12.9784,77.6408,Bengaluru locality centroid,locality-level,"North Indian, Mughlai, South Indian, Chinese",Casual Dining,750,Moderate,4.1,8304,True,False,"Dum Biryani, Fiery Chicken, Butter Chicken, Pepper Chicken, Paneer Tikka Masala, Chicken Grill, Chilli Chicken"
10,Prost Brew Pub,Bengaluru,Koramangala 4th Block,"749, 10th Main, 80 Feet Road, Koramangala 4th Block, Bangalore",12.934,77.63,Bengaluru locality centroid,locality-level,"American, Continental, North Indian, Salad","Pub, Microbrewery",1800,Luxury,4.5,7871,False,True,"Mango Cider, Cajun Potato, Nachos, Salads, Pizza, Wheat Beer, Pork Ribs"
11,Church Street Social,Bengaluru,Church Street,"46/1, Cobalt Building, Church Street, Bangalore",12.975,77.605,Bengaluru locality centroid,locality-level,"American, North Indian, Chinese, Finger Food, Momos",Lounge,1500,Premium,4.3,7584,True,False,"Paneer Biryani, Cocktails, Mocktails, Nachos, Taco Soup, Pork Ribs, Hot Dog"
12,Hoot,Bengaluru,Sarjapur Road,"2034/69, Block 2, Kaikondrahalli, Varthur Hobli, Sarjapur Road, Bangalore",12.911,77.685,Bengaluru locality centroid,locality-level,"Continental, Italian, North Indian","Microbrewery, Pub",1400,Premium,4.2,7330,True,True,"Sea Food, Craft Beer, Cocktails, Tempura Prawns, Dahi Ke Kebab, Tandoori Platter, Pasta"
13,The Black Pearl,Bengaluru,Marathahalli,"20/7, Swamy Legato, Outer Ring Road, Kadubeesanahalli, Marathahalli, Bangalore",12.9591,77.6974,Bengaluru locality centroid,locality-level,"North Indian, European, Mediterranean, BBQ","Casual Dining, Bar",1500,Premium,4.8,7284,False,True,"Dahipuri, Jal-jeera, Jalebi Rabri, Chicken Grill, Mutton Seekh Kabab, Mutton Curry, Chocolate Sandwich"
14,Barbeque Nation,Bengaluru,Indiranagar,"4005, HAL 2nd Stage, 100 Feet Road, Indiranagar, Bangalore",12.9784,77.6408,Bengaluru locality centroid,locality-level,"North Indian, European, Mediterranean, BBQ, Kebab",Casual Dining,1600,Premium,4.7,7270,False,True,"Mutton Curry, Tender Coconut Payasam, Mutton Seekh Kebab, Kulfi, Kheer, Chicken Biryani, Brownie"
15,Meghana Foods,Bengaluru,Koramangala 5th Block,"124, Near Jyothi Nivas College, 1st Cross, KHB Colony, Koramangala 5th Block, Bangalore",12.9352,77.618,Bengaluru locality centroid,locality-level,"Biryani, Andhra, North Indian, Seafood",Casual Dining,600,Moderate,4.4,7238,True,False,"Chicken Boneless Biryani, Egg Curry, Andhra Biryani, Hyderabadi Biryani, Paneer Biryani, Buttermilk, Sea Food"
16,Flechazo,Bengaluru,Marathahalli,"9/1, 1st Floor, Above Surya Nissan, VRR Orchid, Doddanakkundi, Marathahalli, Bangalore",12.9591,77.6974,Bengaluru locality centroid,locality-level,"Asian, Mediterranean, North Indian, BBQ",Casual Dining,1400,Premium,4.7,7154,False,True,"Pizza, Lauki Halwa, Keema Pav, Mutton Kebab, Crab Sushi, Appam, Mutton Chops"
17,The Hole in the Wall Cafe,Bengaluru,Koramangala 4th Block,"4, 8th Main Road, Koramangala 4th Block, Bangalore",12.934,77.63,Bengaluru locality centroid,locality-level,"Cafe, American, Burger",Cafe,600,Moderate,4.6,7137,False,False,"Waffles, Healthy Breakfast, English Breakfast, Pancakes, Burgers, Sandwiches, Mushroom Omelette"
18,Biergarten,Bengaluru,Whitefield,"2, Doddanekkundi, Whitefield Road, Mahadevpura, Whitefield, Bangalore",12.9698,77.75,Bengaluru locality centroid,locality-level,"Continental, European, BBQ, Chinese, Asian","Microbrewery, Pub",2400,Luxury,4.7,7064,False,True,"Wheat Beer, Risotto, Craft Beer, Caesar Salad, Pizza, Hefeweizen, Cheesy Garlic Bread"
19,Vapour Pub & Brewery,Bengaluru,Indiranagar,"773, HAL 2nd Stage, 100 Feet Road, Indiranagar, Bangalore",12.9784,77.6408,Bengaluru locality centroid,locality-level,"North Indian, Continental, Chinese","Microbrewery, Pub",1400,Premium,4.2,6998,False,True,"Pesto Pasta, Craft Beer, Wheat Beer, Cocktails, Crispy Chilli Corn, Butter Chicken, Paneer Tikka"
20,Empire Restaurant,Bengaluru,Koramangala 5th Block,"103, Industrial Area, 5th Block, Near Jyothi Nivas College",12.9352,77.618,Bengaluru locality centroid,locality-level,"North Indian, Mughlai, South Indian, Chinese",Casual Dining,750,Moderate,4.1,6959,True,False,"Brain Fry, Non Veg Thali, Peri Peri Chicken, Egg Biryani, Fruit Salad, Lassi, Jumbo Shawarma"
21,TBC Sky Lounge,Bengaluru,HSR,"Astra Hotel, 2795, 27th Main, Sector 1, HSR, Bangalore",12.9121,77.6446,Bengaluru locality centroid,locality-level,"Continental, Asian, Italian, North Indian","Casual Dining, Bar",1000,Premium,4.7,6745,False,True,"Kulcha, Cocktails, Peri Peri Chicken, Masala Peanuts, Virgin Colada, Apple Pie, Sea Food"
22,AB's - Absolute Barbecues,Bengaluru,BTM,"100 Feet Road, 1st Phase, Near Jayadeva Flyover, 2nd Stage, BTM, Bangalore",12.9166,77.6101,Bengaluru locality centroid,locality-level,"European, Mediterranean, North Indian, BBQ",Casual Dining,1600,Premium,4.9,6490,False,True,"Tangdi Chicken, Bbq Buffet, Chocolate Icecreams, Kofta Curry, Mutton Seekh Kabab, Paneer Curry, Mutton Keema"
23,Chili's American Grill & Bar,Bengaluru,Malleshwaram,"2nd Floor, Orion Mall, Dr. Rajkumar Road, Malleshwaram, Bangalore",13.0031,77.5643,Bengaluru locality centroid,locality-level,"American, Tex-Mex, Burger, BBQ, Mexican","Casual Dining, Bar",1400,Premium,4.8,6470,True,True,"Veg Platter, Burgers, Mushroom Soup, Cocktails, Nachos, Lemon Margarita, Chicken Fajita"
24,Fenny's Lounge And Kitchen,Bengaluru,Koramangala 7th Block,"115, 3rd Floor, Opposite Raheja Arcade, Koramangala 7th Block, Bangalore",12.936,77.614,Bengaluru locality centroid,locality-level,"Mediterranean, Pizza, Continental, Seafood, Salad","Bar, Casual Dining",1600,Premium,4.5,6385,False,True,"Caramel Pudding, Cocktails, Pizza, Mocktails, Wedges, Bbq Chicken, Veg Starter"
25,Windmills Craftworks,Bengaluru,Whitefield,"331, Road 5B, EPIP Area, Next to KTPO, Whitefield, Bangalore",12.9698,77.75,Bengaluru locality centroid,locality-level,"American, North Indian, Salad","Microbrewery, Pub",2500,Luxury,4.6,5954,False,False,"Keema Pav, Cocktails, Craft Beer, Pork Chops, Mocktails, Hefeweizen, Nachos"
26,Brew and Barbeque - A Microbrewery Pub,Bengaluru,Marathahalli,"36/4, Fourth Floor, Soul Space Arena, Outer Ring Road, Doddanekkundi Village, Marathahalli, Bangalore",12.9591,77.6974,Bengaluru locality centroid,locality-level,"Continental, North Indian, BBQ, Steak","Microbrewery, Pub",1400,Premium,4.6,5913,True,True,"Craft Beer, Bbq Platter, Cocktails, Nachos, Pizza, Cosmopolitan, Wheat Beer"
27,Smoke House Deli,Bengaluru,Indiranagar,"1209, 100 Feet Road, Opposite Apollo Clinic, Indiranagar, Bangalore",12.9784,77.6408,Bengaluru locality centroid,locality-level,"European, Italian, Desserts, Salad, Juices, Steak",Casual Dining,1600,Premium,4.6,5448,True,True,"Cappuccino, Pasta, Cucumber Spritzer, Cocktails, Murgh Platter, Mocktails, Burgers"
28,Glen's Bakehouse,Bengaluru,Indiranagar,"297, 100 Feet Road, Indiranagar, Bangalore",12.9784,77.6408,Bengaluru locality centroid,locality-level,"Bakery, Cafe, Italian, Desserts","Bakery, Cafe",600,Moderate,4.3,5352,True,False,"Coffee, Pizza, Cheesecake, Pasta, Potato Salad, Sandwiches, Chicken Pot Pie"
29,Hard Rock Cafe,Bengaluru,St. Marks Road,"40, Opposite LIC Building, Off MG Road, St. Marks Road, Bangalore",12.973,77.602,Bengaluru locality centroid,locality-level,"American, BBQ","Casual Dining, Bar",2500,Luxury,4.5,5294,False,True,"Burgers, Cocktails, Legendary Hrc Burger, Nachos, Sandwiches, Bloody Mary, Mocktails"
30,Empire Restaurant,Bengaluru,Jayanagar,"4, Opposite NMKRV College, 21st C Cross Road, 3rd Block, Jayanagar, Bangalore",12.9308,77.5838,Bengaluru locality centroid,locality-level,"North Indian, Mughlai, South Indian, Chinese",Casual Dining,750,Moderate,4.4,5060,True,False,"Chicken Grill, Ghee Rice, Butter Chicken, Shawarma, Mutton Shaadi Ki Biryani, Chicken Tikka Masala, Mutton Keema Dosa"
31,The Boozy Griffin,Bengaluru,Koramangala 5th Block,"2nd Floor, 1st A Cross Road, Jyothi Nivas College Road, Koramangala 5th Block, Bangalore",12.9352,77.618,Bengaluru locality centroid,locality-level,"European, Continental","Casual Dining, Pub",1800,Luxury,4.6,5024,False,True,"Cocktails, Craft Beer, Salads, Devils Chicken, Sea Food, Mocktails, Wedges"
32,Chili's American Grill & Bar,Bengaluru,Whitefield,"20, Ground Floor, Phoenix Market City, Whitefield, Bangalore",12.9698,77.75,Bengaluru locality centroid,locality-level,"American, Tex-Mex, Burger, BBQ, Mexican",Casual Dining,1400,Premium,4.6,4957,True,False,"Tex Mex, Burgers, Chaap, Cocktails, Chaat, Mushroom Soup, Pork Ribs"
33,Onesta,Bengaluru,New BEL Road,"215, 216 & 220, Devasandra Village, Kasaba Hobli, New BEL Road, Bangalore",13.0382,77.5703,Bengaluru locality centroid,locality-level,"Pizza, Cafe, Italian","Casual Dining, Cafe",600,Moderate,4.4,4897,True,True,"Oreo Delight, Apple Pie, Barbeque Chicken, Bbq Chicken, Stuffed Pizza, Ravioli, Mojito"
34,Chianti,Bengaluru,Koramangala 5th Block,"12, 17th Main, 1st Cross, 5th A Block, Koramangala 5th Block, Bangalore",12.9352,77.618,Bengaluru locality centroid,locality-level,Italian,Casual Dining,1500,Premium,4.7,4872,False,True,"Pasta, Tiramisu, Wine, Barbeque Chicken Pizza, Salads, Brownie Chocolate, Bruschettas"
35,Hammered,Bengaluru,Cunningham Road,"18, Ali Askar Road, Cunningham Road, Bangalore",12.988,77.596,Bengaluru locality centroid,locality-level,"North Indian, Thai, Japanese, Continental, Cafe","Pub, Cafe",1300,Premium,4.7,4845,True,True,"Sangria, Chicken Satay, Crispy Corn, Masala Fries, Wood Fire Pizza, Pesto Pasta, Cocktails"
