user_id,restaurant_id,rating,review_text
1,6312,4.5,Simulated review for Deccan Spices based on indo_chinese_asian_seeker persona.
1,7525,4.5,Simulated review for Sri Udupi Park based on indo_chinese_asian_seeker persona.
1,2697,4.0,Simulated review for Cake Cafe based on indo_chinese_asian_seeker persona.
1,6434,4.0,Simulated review for Cafe Jezve based on indo_chinese_asian_seeker persona.
1,3756,3.5,Simulated review for Hotel Mangala based on indo_chinese_asian_seeker persona.
1,880,5.0,Simulated review for Cafesta based on indo_chinese_asian_seeker persona.
1,2349,3.5,Simulated review for Mimansa @ Foxtrot based on indo_chinese_asian_seeker persona.
1,4506,4.5,Simulated review for Danapani based on indo_chinese_asian_seeker persona.
1,7390,4.5,Simulated review for New Udupi Garden based on indo_chinese_asian_seeker persona.
1,2547,4.0,Simulated review for Prasiddhi Food Corner based on indo_chinese_asian_seeker persona.
1,10304,5.0,Simulated review for SV Food Garden based on indo_chinese_asian_seeker persona.
1,5606,4.5,Simulated review for Chetty's Corner based on indo_chinese_asian_seeker persona.
1,3611,3.5,Simulated review for Red Stone Kitchen based on indo_chinese_asian_seeker persona.
1,10687,4.0,Simulated review for Sri Krishna based on indo_chinese_asian_seeker persona.
1,9701,4.0,Simulated review for Crazy Pizza based on indo_chinese_asian_seeker persona.
1,1862,4.0,Simulated review for 7 Plates based on indo_chinese_asian_seeker persona.
1,3621,4.0,Simulated review for Hotel Emirates based on indo_chinese_asian_seeker persona.
1,2054,4.0,Simulated review for Cakewala based on indo_chinese_asian_seeker persona.
1,8725,3.0,Simulated review for Rajastani Rasoi based on indo_chinese_asian_seeker persona.
2,9547,5.0,Simulated review for Pratikshya Upahaar based on biryani_mughlai_enthusiast persona.
2,9017,4.5,Simulated review for Fine Day based on biryani_mughlai_enthusiast persona.
2,7667,4.0,Simulated review for Eatsy based on biryani_mughlai_enthusiast persona.
2,74,5.0,Simulated review for House Of Commons based on biryani_mughlai_enthusiast persona.
2,10065,3.5,Simulated review for Udupi Anand Bhavan Sweets based on biryani_mughlai_enthusiast persona.
2,8731,4.0,Simulated review for Manshi Paratha & Pav Bhaji based on biryani_mughlai_enthusiast persona.
