model,top_k,mean_ms,median_ms,p95_ms,max_ms
Popularity,5,9.26,9.06,10.6,11.1
Popularity,10,9.59,9.74,10.46,11.01
Popularity,20,9.02,8.9,9.62,9.63
Content-Based,5,11.47,11.29,12.45,13.03
Content-Based,10,13.22,12.85,15.98,16.01
Content-Based,20,14.21,13.87,16.47,17.28
SVD (Collaborative),5,118.68,114.16,150.91,157.34
SVD (Collaborative),10,105.39,109.37,120.06,122.35
SVD (Collaborative),20,87.78,87.43,97.25,97.64
Hybrid,5,182.18,177.21,209.43,237.16
Hybrid,10,182.5,181.8,193.3,201.22
Hybrid,20,212.47,209.15,229.28,236.31
Hybrid + MMR (λ=0.75),5,390.03,377.36,457.42,457.71
Hybrid + MMR (λ=0.75),10,644.2,625.92,730.28,735.59
Hybrid + MMR (λ=0.75),20,1835.66,1940.46,2063.64,2140.17
